Brewery,Beer Name,Style,SRM,IBU,ABV
Thirsty Nomad Brewing Co.,Hazelnut Stout,Stout,,22,5.0%
Thirsty Nomad Brewing Co.,Nostalgia,Cream Ale,,21,5.4%
Thirsty Nomad Brewing Co.,Sweeney,Porter,,30,5.5%
Thirsty Nomad Brewing Co.,Vagabond,Weizenbock,,23,7.1%
Thirsty Nomad Brewing Co.,Valkyrie,Stout,,32,6.0%
Barking Duck Brewing Company,The Mint Hill,Stout,,,
Barking Duck Brewing Company,Big Belly,Stout,,,
Barking Duck Brewing Company,Banamber Belgian Amber,Belgian,,,
Barking Duck Brewing Company,Quacktastic American Wheat,Wheat Ale,,,
Barking Duck Brewing Company,Barking Dead,IPA,,,
Barking Duck Brewing Company,Hayden's Honey Porter,Porter,,,
Barking Duck Brewing Company,Chocolate Pecan Pie Porter,Porter,,,
Barking Duck Brewing Company,"Not So Big Belly, Stout",Stout,,,
Barking Duck Brewing Company,Sour Saison,Saison,,,
Ghostface Brewing,Cascade Pale Ale,Pale Ale,,,
Ghostface Brewing,Belgium Triple,Belgian,,,
Ghostface Brewing,Amber Ale,Amber Ale,,,
Ghostface Brewing,Strawberry Ale,Ale,,,
Ghostface Brewing,Tempted Angel,Abbey,,,7.3%
Ghostface Brewing,Cuddy’s Irish Red,Belgian,,,5.0%
Ghostface Brewing,A Knight To Remember,Stout,,,6.3%
Ghostface Brewing,Banshee IPA,IPA,,,7.3%
NoDa Brewing Company,Par 4,IPA,5.5,6,4.0%
NoDa Brewing Company,Jam Session,Pale Ale,6.5,31,5.1%
NoDa Brewing Company,Woody & Wilcox,Wheat Ale,3,51,5.2%
NoDa Brewing Company,"Hop, Drop, N' Roll",IPA,7.7,81,7.2%
NoDa Brewing Company,Ramble on Red,Ale,14.5,30,5.2%
NoDa Brewing Company,Coco Loco,Porter,32,40,6.2%
NoDa Brewing Company,Cavu,Blonde Ale,4,18,4.6%
Birdsong Brewing,Higher Ground,IPA,,65,7.0%
Birdsong Brewing,Lazy Bird Brown Ale,Brown Ale,,45,5.5%
Birdsong Brewing,Jalapeño Pale Ale,Pale Ale,,45,5.5%
Birdsong Brewing,Free Will Pale Ale,Pale Ale,,43,5.5%
Heist Brewery,The Grey Rush,,,,4.2%
Heist Brewery,""Hive" Fives""Hive" Fives""ive" F""ve",,,,5.5%
Heist Brewery,Not From Concentrate V.9,,,,6.5%
Heist Brewery,Simply Chaotic,,,,5.6%
Heist Brewery,Blackberry Pickin',,,,4.3%
Heist Brewery,London Bridges Falling Brown,,,,5.4%
Heist Brewery,Brunch Junkie,,,,7.5%
Heist Brewery,Ka'Kau',,,,10.2%
Free Range Brewing,Rootin' Tootin',Saison,,0,6.2%
Free Range Brewing,We Knead Each Other,IPA,,0,5.0%
Free Range Brewing,Hee-Haw House Got Musty,Saison,,20,5.6%
Free Range Brewing,Sweet Heart,IPA,,38,6.7%
Free Range Brewing,Homeplace,,,16,6.0%
Free Range Brewing,Outsider Art,Pale Ale,,16,5.7%
Free Range Brewing,Susie Knew How to Shake It,,,9,4.4%
Free Range Brewing,"Willy-Nilly, I Love You Too",Brown Ale,,16,5.5%
Free Range Brewing,Keep on Pickin',,,16,5.7%
Free Range Brewing,A Long Ride Home,,,27,5.4%
Free Range Brewing,Cream of the Crop,Cream Ale,,14,5.0%
Free Range Brewing,"Ba Honey, Bee Strong",,,25,9.8%
Legion Brewing,Carolina Sparkle Party,Weisse,,8,4.4%
Legion Brewing,Project Pils,Pilsner,,22,4.8%
Legion Brewing,Dos Amigos,Lager,,19,5.0%
Legion Brewing,Path to the Dark Side,Stout,,30,5.0%
Legion Brewing,Freedom Park Pale,Pale Ale,,40,5.0%
Legion Brewing,System of a Brown,Brown Ale,,51,5.5%
Legion Brewing,Juicy Jay,IPA,,68,6.3%
Legion Brewing,Morning Midwood,IPA,,80,7.7%
Legion Brewing,Hippa to da Hoppa,IPA,,92,8.1%
Legion Brewing,Chris Barley,Barleywine,,79,9.2%
Legion Brewing,First 52,Stout,,73,10.5%
Three Spirits Brewery,Red Moon Rising,Lager,,,
Three Spirits Brewery,Honey Porte,Porter,,,
Three Spirits Brewery,Ain’t No Hop Steppin’,IPA,,,
Three Spirits Brewery,Southern Bliss,Gold Ale,,,
Three Spirits Brewery,Agate Have It!,Brown Ale,,,
Three Spirits Brewery,King Rassafassa Ale,Saison,,,
Three Spirits Brewery,Helles Bane,,,,
Three Spirits Brewery,Brüe de Tabu,Cream Ale,,,
Three Spirits Brewery,Sweet Memories,Stout,,,
Three Spirits Brewery,Dream of Wheat,Wheat Ale,,,
Three Spirits Brewery,Red Maembe,Pale Ale,,,
Three Spirits Brewery,Kicking’ Jack Kolsch,Kolsch,,,
Three Spirits Brewery,Grog,IPA,,,
Three Spirits Brewery,The Ghost of Pumpkins Past,Pumpkin Ale,,,
Wooden Robot Brewery,OVERACHIEVER,Pale Ale,,,5.3%
Wooden Robot Brewery,WHAT HE’S HAVING 14.0,IPA,,,6.7%
Wooden Robot Brewery,GOOD MORNING VIETNAM,Blonde Ale,,,5.0%
Lenny Boy Brewing Co.,Dopplebock,Bock,,,9.5%
Lenny Boy Brewing Co.,Life in the South,Lager,,23,4.3%
Lenny Boy Brewing Co.,Das Fest Bier,Lager,,,6.3%
Lenny Boy Brewing Co.,Passons Bizarre,Pale Ale,,35,4.0%
Lenny Boy Brewing Co.,The Mirage,Belgian,,36,8.8%
Lenny Boy Brewing Co.,Ground Up Organic Coffee Stout,Stout,,21,5.3%
Lenny Boy Brewing Co.,Booty Call,IPA,,80,8.7%
Lenny Boy Brewing Co.,Dark Side of Luna,Porter,,35,5.9%
Lenny Boy Brewing Co.,Citraphilla,IPA,,65,6.2%
Lenny Boy Brewing Co.,Dat Pale American Ale,Pale Ale,,50,5.2%
Lenny Boy Brewing Co.,Burn Down Brown,Brown Ale,,27,5.0%
Triple C Brewing Co.,Golden Boy,Blonde Ale,,23,4.5%
Triple C Brewing Co.,Light Rail Pale Ale,Pale Ale,,40,4.5%
Triple C Brewing Co.,Smoked Amber Ale,Amber Ale,,29,5.5%
Triple C Brewing Co.,Greenway IPA,IPA,,65,6.5%
Triple C Brewing Co.,3C IPA,IPA,,70,6.2%
Triple C Brewing Co.,Zest-A-Peel,Pilsner,,10,5.2%
Triple C Brewing Co.,Baby Maker IPA,IPA,,80,8.5%
The Unknown Brewing Co.,Over the Edge,IPA,,,6.9%
The Unknown Brewing Co.,Pre Game,Ale,,,4.5%
The Unknown Brewing Co.,Ginger Wheat,Wheat Ale,,,5.1%
